Alcohol Percentage,Alcoholic__,All Ingredients,amount,Alcoholic,pure alcohol,Nonalcoholic,Number of Records,Ingredient Index,Ingredient Name,Sort of drink,Cocktail Name,Extra,Garnish,Glass,Index,Ingredient 1 #,Ingredient 2 #,Ingredient 3 #,Ingredient 4 #,Ingredient 5 #,Ingredient 6 #,Ingredient 7 #,Ingredient 8 #,Ingredient 9 #,Method
0.4,TRUE,Cognac,3,3,1.2,,1,Ingredient 1,Cognac,After Dinner Cocktail,Alexander,nutmeg,,cocktail,0,3,3,3,,,,,,,shake & strain
0.15,TRUE,Campari,3,3,0.45,,1,Ingredient 1,Campari,Before Dinner Cocktail,Americano,,half orange slice,old-fashioned,1,3,3,,,,,,,,mix with ice
0.4,TRUE,Gin,3,3,1.2,,1,Ingredient 1,Gin,All Day Cocktail,Angel Face,,,cocktail,2,3,3,3,,,,,,,shake & strain
0.4,TRUE,Gin,4.5,4.5,1.8,,1,Ingredient 1,Gin,All Day Cocktail,Aviation,,,cocktail,3,4.5,1.5,1.5,,,,,,,shake & strain
0.2,TRUE,Kahlúa,2,2,0.4,,1,Ingredient 1,Kahlúa,After Dinner,B52,straw on side plate,,shot,4,2,2,2,,,,,,,Layer ingredients
0.4,TRUE,Bacardi Rum White,4.5,4.5,1.8,,1,Ingredient 1,Bacardi Rum White,Before Dinner Cocktail,Bacardi,,,cocktail,5,4.5,2,1,,,,,,,shake & strain
0.4,TRUE,Gold rum,4.5,4.5,1.8,,1,Ingredient 1,Gold rum,Sparkling Cocktail,Barracuda,,,cocktail,6,4.5,1.5,6,1,,,,,,
0.14,TRUE,Prosecco,10,10,1.4,,1,Ingredient 1,Prosecco,Sparkling Cocktail,Bellini,,,wine glass,7,10,5,,,,,,,,stir
0.4,TRUE,White Rum,3,3,1.2,,1,Ingredient 1,White Rum,All Day Cocktail,Between The Sheets,,,cocktail,8,3,3,3,2,,,,,,shake & strain
0.4,TRUE,Vodka,5,5,2,,1,Ingredient 1,Vodka,After Dinner Cocktail,Black Russian,for White Russian: float fresh cream on the top and stir gently,,old-fashioned,9,5,2,,,,,,,,stir
0.4,TRUE,Vodka,4.5,4.5,1.8,,1,Ingredient 1,Vodka,Longdrink,Bloody Mary,,elery and lemon wedge,highball,10,4.5,9,1.5,2,,,,,,stir
0.4,TRUE,Gin,4,4,1.6,,1,Ingredient 1,Gin,All Day Cocktail,Bramble,,"lemon slice, and two blackberries",rock,11,4,1.5,1,1.5,,,,,,stir
0.4,TRUE,Cachaca,0.5,0.5,0.2,,1,Ingredient 1,Cachaca,All Day Cocktail,Caipirinha,,,old-fashioned,12,0.5,2,0.5,,,,,,,muddle
0.4,TRUE,Old Tom Gin,4,4,1.6,,1,Ingredient 1,Old Tom Gin,All Day Cocktail,Casino,,lemon twist and a maraschino cherry,cocktail,13,4,1,1,1,,,,,,shake & strain
0.14,TRUE,Chilled Champagne,9,9,1.26,,1,Ingredient 1,Chilled Champagne,Sparkling Cocktail,Champagne Cocktail,,orange slice and maraschino cherry.,champagne flute,14,9,1,2,1,,,,,,
0.4,TRUE,Gin,4.5,4.5,1.8,,1,Ingredient 1,Gin,All Day Cocktail,Clover Club,,,cocktail,15,4.5,1.5,1.5,,,,,,,shake & strain
0.4,TRUE,Citron Vodka,4,4,1.6,,1,Ingredient 1,Citron Vodka,All Day Cocktail,Cosmopolitan,,lime slice,cocktail (large),16,4,1.5,1.5,3,,,,,,shake & strain
0.4,TRUE,White Rum,5,5,2,,1,Ingredient 1,White Rum,Longdrink,Cuba Libre,,lime wedge,highball,17,5,12,1,,,,,,,
0.4,TRUE,White Rum,4.5,4.5,1.8,,1,Ingredient 1,White Rum,Before Dinner Cocktail,Daiquiri,,,cocktail,18,4.5,2.5,1.5,,,,,,,shake & strain
0.4,TRUE,Dark Rum,6,6,2.4,,1,Ingredient 1,Dark Rum,Longdrink,Dark ‘N' Stormy,,lime wedge,highball,19,6,10,,,,,,,,Pour
0.4,TRUE,Gin,6,6,2.4,,1,Ingredient 1,Gin,All Day Cocktail,Derby,,fresh mint leaves,cocktail,20,6,2,2,,,,,,,stir & strain
0.4,TRUE,Vodka,6,6,2.4,,1,Ingredient 1,Vodka,Before Dinner Cocktail,Dirty Martini,,green olive,Martini glass,21,6,1,1,,,,,,,stir & strain
0.4,TRUE,Gin,6,6,2.4,,1,Ingredient 1,Gin,Before Dinner Cocktail,Dry Martini,Squeeze oil from lemon peel onto the drink,olive,Martini glass,22,6,1,,,,,,,,stir & strain
0.4,TRUE,Vodka,5,5,2,,1,Ingredient 1,Vodka,After Dinner Cocktail,Espresso Martini,,,cocktail,23,5,1,,1,,,,,,shake & strain
0.4,TRUE,Gin,3,3,1.2,,1,Ingredient 1,Gin,Sparkling Cocktail,French 75,,,champagne flute,24,3,1.5,2,6,,,,,,shake & strain
